,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
265,Tony Snell,ATL,29,47,29,18,21.1,113.8,111.6,2.2,8.0,2.81,23.1,1.9,9.0,5.6,8.2,69.6,70.8,8.4,98.85,6.0,"2,051"
266,Willy Hernangomez,NOP,26,47,20,27,18.0,113.6,113.6,0.0,8.2,1.47,12.7,13.4,24.7,19.1,8.7,56.5,59.1,16.6,103.19,12.5,"1,813"
267,Aaron Nesmith,BOS,21,46,22,24,14.5,108.6,109.1,-0.5,4.7,1.00,9.7,4.1,14.6,9.3,9.7,55.1,57.3,13.3,101.13,6.0,"1,409"
268,Andre Drummond,LAL,27,46,19,27,27.0,107.5,111.4,-3.9,12.4,0.76,10.7,13.2,33.6,22.9,14.1,49.3,51.9,26.9,98.31,13.9,"2,540"
269,Blake Griffin,BKN,32,46,24,22,25.8,113.1,111.0,2.1,17.1,2.26,21.2,2.9,15.9,9.4,9.4,50.9,54.6,19.1,98.38,9.2,"2,435"
270,Damyean Dotson,CLE,27,46,14,32,19.7,97.0,109.4,-12.5,16.1,2.17,20.6,0.5,9.5,4.8,9.5,48.5,49.9,16.2,99.68,6.9,"1,893"
271,Isaiah Hartenstein,CLE,23,46,20,26,12.1,107.8,105.7,2.1,14.7,1.25,18.3,11.4,20.7,16.0,14.6,55.6,58.3,18.7,99.97,10.8,"1,152"
272,JaVale McGee,DEN,33,46,21,25,14.7,100.9,106.9,-6.1,9.8,0.65,9.5,10.5,23.1,16.6,14.6,52.0,54.1,22.8,99.87,11.5,"1,410"
273,Kyle Lowry,TOR,35,46,15,31,34.8,112.6,113.0,-0.3,31.1,2.68,30.0,2.1,13.3,7.5,11.2,54.6,59.3,20.9,101.38,11.5,"3,385"
274,Mo Bamba,ORL,23,46,11,35,15.8,102.4,115.2,-12.9,8.2,0.97,8.8,9.1,24.0,16.3,9.0,53.5,55.6,21.0,101.09,12.3,"1,523"
275,Nickeil Alexander-Walker,NOP,22,46,20,26,21.9,108.2,111.5,-3.3,15.5,1.48,15.6,1.2,12.7,6.9,10.5,50.2,52.2,22.8,100.54,8.8,"2,117"
276,Terrence Ross,ORL,30,46,16,30,29.3,103.2,112.0,-8.8,13.3,1.46,12.7,1.0,10.4,5.4,8.7,48.5,53.0,23.0,100.24,9.0,"2,818"
277,Wayne Ellington,DET,33,46,13,33,22.0,110.0,114.2,-4.3,9.7,2.03,14.9,1.2,7.3,4.2,7.3,61.2,62.5,16.2,99.33,7.5,"2,103"
278,Aleksej Pokusevski,OKC,19,45,13,32,24.2,98.1,114.9,-16.7,13.3,0.98,15.5,2.5,15.5,9.0,15.9,41.2,43.0,19.7,104.44,5.8,"2,373"
279,Chuma Okeke,ORL,22,45,15,30,25.2,102.6,109.8,-7.2,13.2,2.66,21.1,3.3,11.7,7.4,7.9,49.2,51.1,14.2,100.85,8.4,"2,374"
280,Goga Bitadze,IND,21,45,19,26,12.5,108.5,109.3,-0.8,8.7,2.18,13.4,9.5,14.8,12.1,6.2,47.9,52.3,16.9,105.27,7.8,"1,227"
281,Jake Layman,MIN,27,45,12,33,13.9,101.5,107.3,-5.8,6.7,1.08,11.1,1.9,8.3,5.1,10.3,55.7,57.7,14.7,104.15,7.4,"1,360"
282,Kenyon Martin Jr.,HOU,20,45,10,35,23.7,105.5,117.0,-11.5,6.8,1.26,10.9,6.3,15.9,10.8,8.6,56.4,59.0,15.4,102.71,9.0,"2,275"
283,LeBron James,LAL,36,45,30,15,33.4,112.4,103.2,9.2,39.4,2.08,24.3,2.0,20.2,11.4,11.7,57.6,60.2,31.0,100.41,19.1,"3,145"
284,Matt Thomas,UTA,26,45,27,18,7.3,100.0,109.3,-9.3,9.6,1.36,11.6,2.0,11.2,6.5,8.5,50.0,52.2,18.7,102.28,7.1,695
285,Moritz Wagner,ORL,24,45,19,26,16.0,104.9,112.8,-7.9,10.7,1.16,13.9,3.5,14.9,9.3,11.9,52.2,58.0,17.8,104.80,8.0,"1,568"
286,Nicolo Melli,DAL,30,45,26,19,12.6,106.3,105.2,1.1,10.8,3.67,21.2,4.6,16.6,10.2,5.8,40.8,44.1,12.3,96.87,6.4,"1,148"
287,Rajon Rondo,LAC,35,45,28,17,17.1,107.7,106.8,1.0,37.5,2.52,39.8,2.3,11.3,6.9,15.8,52.6,54.4,16.6,99.08,11.0,"1,591"
288,Taj Gibson,NYK,35,45,29,16,20.8,110.5,103.1,7.3,5.4,1.64,14.9,10.2,15.1,12.7,9.1,63.6,66.1,9.5,97.67,9.5,"1,899"
289,Amir Coffey,LAC,23,44,32,12,9.0,99.9,101.1,-1.2,9.0,1.47,14.0,2.3,8.1,5.2,9.6,54.9,58.5,14.5,99.76,7.0,812
290,Bogdan Bogdanovic,ATL,28,44,30,14,29.7,114.9,111.0,3.9,16.9,2.72,18.7,1.6,10.4,6.1,6.9,60.2,61.6,21.0,99.59,11.0,"2,710"
291,Gordon Hayward,CHA,31,44,24,20,34.0,111.0,110.3,0.7,18.9,1.99,17.9,2.4,14.3,8.3,9.0,53.7,58.4,23.5,100.83,12.4,"3,142"
292,Ish Smith,WAS,32,44,23,21,21.0,111.0,108.7,2.3,24.2,4.20,32.8,2.2,13.1,7.6,7.8,46.5,47.3,15.5,104.87,9.3,"2,020"
293,JJ Redick,DAL,36,44,22,22,16.4,109.3,110.6,-1.3,9.8,1.42,13.7,0.6,8.2,4.4,9.7,52.1,56.4,18.4,102.32,6.7,"1,552"
294,James Harden,BKN,31,44,31,13,36.6,117.2,114.3,2.9,44.2,2.68,31.2,2.3,19.1,11.1,11.6,54.8,61.8,28.3,99.78,17.4,"3,347"
295,Ryan Arcidiacono,CHI,27,44,20,24,10.2,104.0,104.0,0.0,17.6,5.60,29.3,1.1,13.5,7.4,5.2,52.6,54.1,12.8,99.21,7.8,936
296,John Konchar,MEM,25,43,23,20,13.4,110.6,108.6,2.1,11.1,2.61,21.6,5.7,16.1,10.7,8.3,57.6,60.8,12.4,100.85,9.8,"1,204"
297,Kemba Walker,BOS,31,43,22,21,31.8,114.5,111.4,3.1,23.3,2.41,20.5,1.2,11.3,6.2,8.5,51.4,55.9,25.6,99.45,12.3,"2,839"
298,Kristaps Porzingis,DAL,25,43,26,17,30.9,116.0,115.3,0.7,8.1,1.33,7.9,6.2,21.9,14.1,5.9,54.7,58.2,25.9,98.93,13.5,"2,729"
299,Marvin Bagley III,SAC,22,43,20,23,25.9,112.8,116.5,-3.7,5.7,0.73,6.6,9.2,18.8,14.0,9.0,54.2,55.4,22.9,101.26,9.9,"2,345"
300,Moses Brown,OKC,21,43,8,35,21.4,98.1,116.4,-18.3,1.7,0.23,2.7,14.3,23.8,18.8,11.4,54.5,57.2,15.7,104.74,11.4,"2,010"
301,OG Anunoby,TOR,23,43,18,25,33.3,112.4,109.1,3.3,9.8,1.25,12.8,3.7,12.5,8.1,10.2,58.0,60.5,19.3,99.90,9.9,"2,992"
302,D'Angelo Russell,MIN,25,42,16,26,28.5,109.7,116.8,-7.0,32.3,2.18,22.8,1.2,7.7,4.4,10.4,52.3,55.5,28.3,104.18,11.4,"2,591"
303,Evan Fournier,BOS,28,42,18,24,30.0,111.6,113.0,-1.4,17.0,1.97,17.8,0.7,9.4,4.9,9.0,56.5,59.8,22.2,101.83,9.8,"2,672"
304,Jaylen Nowell,MIN,21,42,10,32,18.1,104.5,111.1,-6.6,13.0,2.21,13.9,2.2,9.8,5.8,6.3,49.9,52.8,20.6,103.74,8.1,"1,645"
305,Kevin Knox II,NYK,21,42,26,16,11.1,101.1,104.7,-3.5,6.4,1.12,10.2,2.0,10.1,6.0,9.1,51.4,53.7,15.2,99.38,6.5,962
306,Malik Monk,CHA,23,42,19,23,20.9,109.4,108.6,0.8,15.5,1.58,15.3,1.5,9.6,5.5,9.6,54.0,56.9,22.7,101.97,9.6,"1,874"
307,Tony Bradley,OKC,23,42,15,27,16.3,108.7,110.5,-1.8,7.7,1.12,12.6,12.1,22.4,17.2,11.3,66.5,67.8,15.4,102.32,13.2,"1,463"
308,Zeke Nnaji,DEN,20,42,30,12,9.5,102.0,112.5,-10.5,3.7,1.43,7.8,3.4,12.9,8.0,5.5,59.6,61.5,12.6,102.52,7.4,852
309,Chasson Randle,ORL,28,41,10,31,20.4,97.7,112.7,-15.0,14.3,1.61,19.6,0.8,8.4,4.5,12.2,48.1,51.5,15.4,100.90,5.4,"1,759"
310,Christian Wood,HOU,25,41,12,29,32.3,108.8,112.6,-3.8,8.9,0.89,8.1,5.5,22.8,14.2,9.2,57.4,59.1,25.5,102.27,13.9,"2,829"
311,DeMarcus Cousins,LAC,30,41,22,19,17.4,103.4,106.6,-3.2,17.4,1.19,15.9,7.0,29.3,17.8,13.4,50.3,53.7,23.9,101.91,13.0,"1,508"
312,Isaiah Joe,PHI,21,41,22,19,9.3,106.9,105.1,1.8,7.2,1.82,11.5,1.4,8.3,4.5,6.3,50.8,53.3,16.3,103.07,5.8,816
313,James Ennis III,ORL,30,41,12,29,24.1,107.9,111.7,-3.8,8.7,1.72,16.5,4.2,12.3,8.2,9.6,56.6,61.3,13.7,99.60,7.7,"2,049"
314,Javonte Green,CHI,27,41,19,22,11.6,109.0,107.2,1.8,4.8,0.89,11.0,5.6,10.0,7.7,12.3,56.9,61.0,12.2,101.22,6.9,999
315,Serge Ibaka,LAC,31,41,24,17,23.3,117.5,110.1,7.4,11.0,1.68,14.7,8.0,21.7,15.0,8.7,56.3,58.5,20.0,97.67,11.5,"1,948"
316,Taurean Prince,CLE,27,41,15,26,22.1,108.5,114.6,-6.1,12.1,1.62,15.8,2.1,13.2,7.7,9.8,49.5,54.0,18.9,101.72,8.0,"1,913"
317,Vlatko Cancar,DEN,24,41,28,13,6.9,96.5,113.9,-17.5,7.3,1.00,13.3,3.5,13.6,8.3,13.3,52.1,54.7,13.2,105.68,6.9,621
318,Wes Iwundu,NOP,26,41,17,24,13.1,103.6,110.1,-6.6,4.5,0.95,11.8,2.5,13.0,7.7,12.5,35.8,42.8,10.3,102.91,3.5,"1,147"
319,Eric Paschall,GSW,24,40,20,20,17.4,103.7,110.5,-6.8,12.5,1.19,11.9,3.8,13.8,8.8,10.0,52.7,56.1,23.4,102.80,9.8,"1,483"
320,Frank Jackson,DET,23,40,13,27,18.5,106.1,107.0,-1.0,7.9,1.06,9.2,2.1,9.2,5.7,8.7,56.1,59.8,20.7,99.74,9.3,"1,535"
321,Isaac Bonga,WAS,21,40,16,24,10.8,99.2,102.4,-3.3,7.2,1.05,17.8,4.2,10.0,7.3,17.1,45.1,46.1,10.1,104.95,2.2,942
322,John Wall,HOU,30,40,12,28,32.2,106.1,111.8,-5.7,36.5,1.95,22.3,1.2,8.4,4.7,11.4,45.8,50.3,31.6,101.42,11.4,"2,717"
323,Lamar Stevens,CLE,23,40,13,27,12.5,100.1,110.5,-10.4,7.9,1.09,12.0,4.4,14.5,9.2,11.1,47.1,52.1,15.2,100.57,7.2,"1,042"
324,Langston Galloway,PHX,29,40,29,11,10.9,110.7,107.5,3.2,8.0,2.00,13.5,1.7,8.0,4.9,6.7,57.1,60.5,16.3,102.21,7.6,934
325,Alfonzo McKinnie,LAL,28,39,22,17,6.6,102.0,101.3,0.7,3.6,1.20,5.4,7.6,11.3,9.5,4.5,60.2,60.4,16.4,104.46,10.0,563
326,Damian Jones,SAC,25,39,24,15,14.0,104.9,110.0,-5.1,7.5,1.12,15.8,6.4,15.6,10.9,14.1,68.4,71.2,12.0,102.95,8.3,"1,167"
327,Gary Clark,PHI,26,39,12,27,16.8,104.1,111.7,-7.7,6.4,1.82,16.8,4.4,12.5,8.2,9.2,42.0,43.6,9.7,101.25,4.4,"1,377"
328,Gary Harris,ORL,26,39,15,24,27.7,110.0,114.2,-4.2,10.2,2.11,15.8,1.9,5.4,3.6,7.5,47.0,51.1,16.4,98.87,5.3,"2,230"
329,James Wiseman,GSW,20,39,18,21,21.4,101.8,110.6,-8.8,5.0,0.43,5.3,6.3,19.0,12.7,12.2,53.5,55.2,23.1,105.66,8.8,"1,830"
330,Josh Green,DAL,20,39,20,19,11.4,106.7,104.7,1.9,8.3,1.65,19.0,5.9,11.0,8.4,11.6,47.3,49.0,11.2,100.45,5.7,930
331,Max Strus,MIA,25,39,14,25,13.0,109.4,113.6,-4.2,7.4,3.00,10.5,1.1,7.3,4.3,3.5,58.8,59.7,17.9,98.32,7.2,"1,039"
332,Mfiondu Kabengele,CLE,23,39,20,19,7.2,93.1,107.3,-14.2,9.9,1.13,13.1,3.9,15.1,9.6,11.5,44.4,48.6,16.8,102.94,6.5,597
333,Tyler Johnson,BKN,29,39,29,10,17.5,114.0,110.7,3.3,9.1,2.76,18.3,0.9,9.6,5.5,6.6,52.5,54.6,13.2,100.58,5.9,"1,433"
334,Gorgui Dieng,SAS,31,38,14,24,14.5,106.6,113.2,-6.7,13.0,1.50,17.6,6.8,18.1,12.2,11.7,61.3,67.0,16.9,101.65,12.0,"1,175"
335,Harry Giles III,POR,23,38,23,15,9.2,101.1,111.5,-10.4,12.5,1.45,18.4,7.9,25.4,16.8,12.7,47.4,49.6,15.4,103.33,9.5,749
336,Patrick Patterson,LAC,32,38,26,12,15.3,111.2,109.1,2.1,6.9,2.64,13.6,3.2,9.3,6.3,5.2,55.8,57.1,13.5,99.85,6.6,"1,209"
337,Jusuf Nurkic,POR,26,37,22,15,23.8,115.0,108.2,6.9,20.6,1.71,21.6,9.4,28.3,18.6,12.6,53.2,55.4,21.7,102.21,13.4,"1,872"
338,KZ Okpala,MIA,22,37,22,15,12.1,102.8,109.7,-6.8,6.0,1.27,14.0,4.7,10.4,7.5,11.0,43.8,44.8,11.5,98.48,2.4,915
339,Malik Beasley,MIN,24,37,8,29,32.8,107.9,115.0,-7.2,11.4,1.47,11.3,2.1,11.2,6.4,7.7,54.7,57.0,23.5,102.10,10.1,"2,577"
340,Markus Howard,DEN,22,37,24,13,5.5,93.5,110.5,-17.0,14.5,1.00,12.4,0.4,9.5,4.8,12.4,46.2,47.7,25.0,107.97,4.6,465
341,Maurice Harkless,SAC,28,37,16,21,20.9,109.7,112.7,-2.9,7.1,2.00,17.5,1.7,9.7,5.8,8.8,48.8,52.7,11.4,102.73,4.4,"1,654"
342,Nemanja Bjelica,MIA,33,37,16,21,16.1,109.8,116.5,-6.7,16.0,2.09,21.6,4.9,17.2,10.9,10.3,52.3,55.4,17.9,100.53,8.4,"1,254"
343,Patrick Beverley,LAC,32,37,25,12,22.5,115.7,106.7,9.0,12.3,2.24,21.6,3.7,10.8,7.3,9.7,55.0,58.0,14.6,98.05,6.6,"1,698"
344,Tre Jones,SAS,21,37,15,22,7.3,98.4,112.2,-13.8,22.8,3.00,28.1,2.8,4.9,3.8,9.4,49.4,54.4,15.9,100.88,8.4,562
345,Anthony Davis,LAL,28,36,23,13,32.3,112.5,107.4,5.2,15.4,1.49,12.4,5.4,19.8,12.5,8.3,51.2,55.6,28.7,99.29,15.3,"2,399"
346,Austin Rivers,DEN,28,36,20,16,23.5,110.3,110.3,0.0,13.6,2.25,21.5,0.9,8.8,4.8,9.6,53.7,55.1,15.0,97.79,6.7,"1,726"
347,Chimezie Metu,SAC,24,36,14,22,13.6,108.7,116.4,-7.8,8.0,0.97,10.9,6.4,17.5,11.8,11.3,54.5,57.1,19.4,103.51,8.3,"1,063"
348,Danuel House Jr.,HOU,27,36,8,28,25.9,103.4,114.5,-11.2,11.0,1.92,17.1,1.8,12.1,6.7,8.9,50.4,52.5,15.3,101.91,6.5,"1,979"
349,Derrick White,SAS,26,36,18,18,29.5,113.9,108.8,5.1,16.8,2.82,18.9,1.2,8.6,4.9,6.7,50.3,55.0,22.3,99.29,9.0,"2,192"
350,Hassan Whiteside,SAC,31,36,16,20,15.2,106.3,114.5,-8.1,5.8,0.50,6.3,10.9,26.9,19.0,12.5,56.3,56.6,22.7,102.93,12.3,"1,166"
351,Jeremy Lamb,IND,28,36,16,20,21.3,113.0,113.3,-0.3,9.4,2.41,13.8,3.2,13.7,8.4,5.7,52.9,58.7,18.0,102.29,9.8,"1,627"
352,Justin James,SAC,24,36,15,21,8.6,100.3,108.8,-8.5,10.9,1.47,13.3,2.7,6.7,4.6,9.1,53.2,54.8,19.2,104.29,6.6,675
353,D.J. Wilson,HOU,25,35,13,22,12.4,99.7,111.0,-11.3,8.8,1.05,10.3,4.2,19.9,12.0,9.8,49.4,51.1,19.5,102.07,8.7,919
354,Kelan Martin,IND,25,35,16,19,9.2,115.3,99.7,15.6,7.1,1.06,9.7,5.2,15.9,10.8,9.1,53.6,55.1,19.9,102.90,9.9,685
355,Kevin Durant,BKN,32,35,23,12,33.1,121.7,111.1,10.7,25.2,1.63,19.1,1.2,18.0,10.5,11.8,60.8,66.6,30.3,103.03,17.2,"2,489"
356,Larry Nance Jr.,CLE,28,35,13,22,31.2,101.7,107.4,-5.6,14.5,1.95,23.4,4.9,16.9,10.8,12.0,54.6,55.7,13.9,97.85,10.4,"2,220"
357,Mike Muscala,OKC,29,35,15,20,18.4,102.5,101.9,0.6,6.9,1.33,8.6,2.8,15.7,9.5,6.5,57.3,59.9,19.4,102.92,11.2,"1,388"
358,Shai Gilgeous-Alexander,OKC,22,35,16,19,33.7,107.2,114.9,-7.7,31.1,1.95,21.2,1.5,11.9,6.7,10.8,57.1,62.3,28.3,100.10,14.6,"2,462"
359,Jarrett Culver,MIN,22,34,7,27,14.7,99.0,109.7,-10.7,7.9,0.86,9.9,5.9,13.2,9.4,11.5,44.9,47.6,17.9,103.72,5.7,"1,071"
360,Justin Jackson,MIL,26,34,12,22,17.0,103.8,106.8,-3.0,13.6,1.63,16.1,2.6,10.0,6.3,9.9,48.4,51.6,19.5,103.26,7.7,"1,239"
361,Shaquille Harrison,DEN,27,34,27,7,9.8,98.2,108.3,-10.1,10.9,2.27,20.2,2.0,11.7,6.8,8.9,35.3,41.6,12.4,102.89,4.7,711
362,Troy Brown Jr.,CHI,21,34,10,24,15.4,110.5,107.5,3.1,7.6,1.38,14.4,3.9,15.8,9.9,10.4,50.7,52.5,14.1,100.38,6.7,"1,091"
363,Boban Marjanovic,DAL,32,33,14,19,8.2,107.0,101.1,5.9,6.0,0.83,6.2,15.9,29.1,22.3,7.5,51.2,56.2,23.1,100.13,16.2,561
364,Bruno Fernando,ATL,22,33,20,13,6.8,98.8,104.7,-6.0,6.9,0.48,11.8,6.6,25.6,16.0,24.7,40.9,47.5,13.3,103.78,6.9,492
365,Frank Ntilikina,NYK,22,33,23,10,9.8,99.7,103.3,-3.6,9.5,1.73,16.2,1.9,7.7,4.8,9.4,51.3,51.2,13.4,99.43,3.6,662
366,Luka Samanic,SAS,21,33,14,19,9.3,102.6,104.6,-2.0,7.3,0.75,9.9,4.9,15.8,10.4,13.2,50.5,51.8,18.7,101.47,6.5,648
367,Nathan Knight,ATL,23,33,21,12,8.4,102.6,106.9,-4.3,4.5,0.53,5.4,9.3,15.5,12.4,10.1,40.0,49.9,20.7,100.55,8.9,588
368,Skylar Mays,ATL,23,33,19,14,8.2,107.0,105.6,1.4,18.0,3.33,20.1,3.7,9.5,6.6,6.0,52.0,56.9,18.6,99.05,11.3,558
369,Ty Jerome,OKC,23,33,7,26,23.9,103.5,112.0,-8.5,22.9,2.55,25.6,1.2,10.0,5.5,10.0,57.0,58.5,18.1,102.91,9.5,"1,693"
370,Victor Oladipo,MIA,29,33,13,20,32.7,106.5,108.8,-2.3,23.3,1.82,17.5,1.0,13.7,7.2,9.6,47.6,51.2,28.6,101.15,10.9,"2,267"
371,Bol Bol,DEN,21,32,21,11,5.0,94.4,119.3,-24.9,6.7,0.54,8.4,0.0,15.4,7.4,15.7,50.9,53.4,19.1,110.79,5.7,374
372,Brodric Thomas,CLE,24,32,6,26,12.5,103.6,108.1,-4.5,11.5,1.36,16.6,1.9,10.7,6.2,12.2,43.5,48.7,15.8,100.74,5.2,833
373,Mason Jones,PHI,22,32,10,22,10.5,98.9,108.8,-9.9,21.1,1.45,18.9,1.8,14.5,7.6,13.1,52.0,55.6,21.7,105.91,9.2,730
374,Naji Marshall,NOP,23,32,14,18,21.9,108.1,109.6,-1.5,16.5,2.32,23.9,2.0,18.2,10.0,10.3,46.2,50.8,16.0,105.10,8.8,"1,530"
375,Nicolas Claxton,BKN,22,32,23,9,18.6,114.3,102.1,12.3,6.8,1.56,12.8,7.4,18.7,13.4,8.3,62.4,61.2,13.6,100.65,10.9,"1,248"
376,Tyler Cook,DET,23,32,11,21,13.7,106.6,110.8,-4.2,5.7,0.81,11.0,6.5,14.9,10.8,13.5,67.5,65.9,13.6,99.44,8.8,908
377,Carsen Edwards,BOS,23,31,14,17,8.9,105.1,109.2,-4.1,7.5,2.00,10.2,1.0,8.4,4.6,5.1,50.5,52.7,18.7,101.98,6.4,585
378,DaQuan Jeffries,SAS,23,31,6,25,15.9,109.0,113.4,-4.5,5.9,1.57,13.8,3.6,10.3,6.8,8.8,50.0,51.4,11.4,104.76,4.5,"1,072"
379,Dylan Windler,CLE,24,31,11,20,16.5,104.6,111.1,-6.5,8.9,1.03,15.9,3.9,17.1,10.4,15.5,53.8,56.7,14.0,101.87,8.2,"1,092"
380,Kyle Guy,SAC,23,31,11,20,7.6,107.4,111.5,-4.2,18.4,2.91,22.9,1.9,12.8,7.1,7.9,40.3,44.9,18.5,104.91,6.2,517
381,Luke Kornet,BOS,25,31,13,18,11.2,105.4,99.6,5.8,9.5,3.43,17.9,4.1,14.4,9.5,5.2,51.0,51.1,13.5,102.37,8.7,746
382,Michael Carter-Williams,ORL,29,31,12,19,25.8,103.1,105.6,-2.5,23.8,1.87,25.7,4.4,12.3,8.2,13.8,41.7,44.9,19.8,101.36,6.4,"1,685"
383,Mitchell Robinson,NYK,23,31,15,16,27.5,106.1,106.5,-0.4,3.0,0.65,7.0,12.4,15.5,14.0,10.7,65.3,64.2,11.4,96.39,10.4,"1,707"
384,CJ Elleby,POR,20,30,19,11,6.4,102.3,107.6,-5.3,7.6,2.00,11.4,4.9,8.9,6.9,5.7,43.2,46.8,16.0,106.16,4.7,429
385,Daniel Oturu,LAC,21,30,21,9,5.4,104.2,102.5,1.8,9.2,1.11,13.0,11.9,15.7,13.8,11.7,43.3,47.1,17.4,97.85,7.3,330
386,David Nwaba,HOU,28,30,8,22,22.6,106.8,108.0,-1.3,7.0,1.82,10.5,5.5,10.8,8.1,5.8,52.5,55.7,16.3,102.96,8.9,"1,451"
387,George Hill,PHI,35,30,16,14,22.4,109.7,110.2,-0.4,15.6,2.35,22.8,2.3,6.3,4.4,9.7,56.1,59.6,16.1,98.38,8.8,"1,375"
388,Jordan Nwora,MIL,22,30,19,11,9.1,106.8,107.1,-0.3,4.0,0.29,3.9,3.3,16.2,10.3,13.5,56.3,58.6,25.4,105.88,11.3,603
389,Keita Bates-Diop,SAS,25,30,13,17,8.2,103.8,111.5,-7.7,7.5,1.71,12.6,3.7,15.4,9.7,7.4,48.5,51.8,14.4,102.89,8.8,526
390,Nico Mannion,GSW,20,30,17,13,12.1,102.6,111.9,-9.4,27.0,2.26,30.7,1.6,10.7,6.1,13.6,43.9,48.7,18.6,102.55,7.5,776
391,Sam Merrill,MIL,25,30,18,12,7.8,101.2,109.7,-8.5,13.5,2.10,20.0,2.4,9.4,6.0,9.5,59.0,60.3,14.6,104.73,8.4,510
392,Trent Forrest,UTA,22,30,22,8,10.1,108.2,115.9,-7.7,20.5,2.14,30.8,3.8,11.1,7.5,14.4,48.6,55.4,14.4,98.78,7.8,621
393,Trevor Ariza,MIA,35,30,17,13,28.0,113.8,111.0,2.8,8.9,2.62,16.4,3.3,15.0,9.0,6.3,51.5,54.2,14.9,98.34,7.7,"1,719"
394,JaKarr Sampson,IND,28,29,14,15,10.9,109.9,108.9,1.1,1.7,0.27,2.8,8.0,14.5,11.3,10.4,50.9,53.3,17.7,104.34,5.9,686
395,Juwan Morgan,UTA,24,29,24,5,5.1,90.0,124.1,-34.1,10.1,2.25,19.6,5.1,13.3,8.8,8.7,53.3,52.9,10.2,104.42,4.4,321
396,Al Horford,OKC,34,28,11,17,27.9,102.2,109.1,-6.9,20.6,3.24,19.2,3.4,19.5,11.4,5.9,52.8,53.8,22.1,100.30,13.1,"1,639"
397,Jarrell Brantley,UTA,24,28,23,5,4.9,103.0,112.1,-9.1,17.0,1.88,19.7,5.9,12.5,9.1,10.5,59.6,60.5,18.2,103.59,9.6,300
398,Otto Porter Jr.,ORL,27,28,12,16,21.7,106.6,109.6,-3.0,13.3,2.20,16.9,4.4,19.8,12.1,7.7,51.8,55.2,18.4,102.64,11.6,"1,296"
