,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
399,Avery Bradley,HOU,30,27,6,21,22.3,105.3,115.5,-10.2,10.8,1.64,18.3,1.3,7.8,4.6,11.1,47.1,48.7,14.6,102.39,3.9,"1,284"
400,E'Twaun Moore,PHX,32,27,20,7,14.4,108.4,107.9,0.5,14.0,1.74,20.9,3.5,8.0,5.7,12.0,50.0,52.3,16.4,101.31,6.4,822
401,Eric Gordon,HOU,32,27,10,17,29.2,106.8,110.1,-3.3,14.7,1.39,13.3,0.9,6.2,3.5,9.6,52.7,57.7,24.6,102.85,9.7,"1,684"
402,Jahlil Okafor,DET,25,27,5,22,12.9,98.5,108.7,-10.2,6.6,0.62,8.8,7.0,11.9,9.6,14.3,62.7,64.4,17.0,99.74,8.9,717
403,Jalen Smith,PHX,21,27,19,8,5.8,106.3,110.7,-4.4,3.7,0.57,6.3,4.4,17.4,11.1,10.9,48.0,49.9,16.1,103.72,5.9,336
404,Paul Watson,TOR,26,27,13,14,11.0,110.9,112.6,-1.7,8.1,1.89,15.2,1.2,12.9,7.0,8.0,64.6,64.9,13.3,101.77,7.1,632
405,Anthony Gill,WAS,28,26,11,15,8.4,104.1,105.6,-1.6,7.3,1.38,12.8,7.4,15.1,11.4,9.3,55.8,59.7,14.3,104.25,8.9,469
406,Cam Reddish,ATL,21,26,10,16,28.9,110.9,114.9,-4.0,6.6,1.03,9.4,2.8,10.9,6.8,9.2,42.8,48.8,18.3,102.80,5.3,"1,614"
407,Justise Winslow,MEM,25,26,13,13,19.5,101.0,107.1,-6.1,14.0,1.35,15.9,3.2,18.7,10.8,11.8,37.6,39.5,21.2,104.84,6.0,"1,103"
408,Kevin Porter Jr.,HOU,21,26,4,22,32.1,107.3,119.9,-12.6,29.3,1.80,24.7,2.2,9.8,5.8,13.7,49.3,52.8,24.7,102.69,8.6,"1,788"
409,Killian Hayes,DET,19,26,6,20,25.8,100.6,110.7,-10.1,29.9,1.66,32.2,0.9,9.2,5.0,19.3,40.3,42.2,18.5,100.12,5.3,"1,403"
410,LaMarcus Aldridge,BKN,35,26,15,11,25.9,110.6,113.4,-2.8,10.9,1.81,12.4,2.7,14.8,8.7,6.9,52.5,55.6,22.4,99.89,9.9,"1,406"
411,Paul Reed,PHI,21,26,17,9,6.8,107.5,96.3,11.2,10.7,1.00,11.5,14.7,17.2,15.9,11.5,53.8,54.0,20.8,102.07,13.2,374
412,Reggie Perry,BKN,21,26,18,8,8.1,106.1,113.4,-7.3,9.7,0.93,12.5,11.7,20.4,16.0,13.4,43.6,46.6,19.0,101.96,6.4,446
413,Tremont Waters,BOS,23,26,13,13,9.1,106.1,108.0,-2.0,38.0,2.30,34.3,2.1,6.2,4.2,14.9,49.4,54.1,20.4,103.00,11.0,510
414,Chandler Hutchison,WAS,25,25,11,14,13.8,106.8,112.0,-5.2,6.1,0.85,11.3,1.6,19.5,10.6,13.2,41.7,46.9,15.5,107.44,6.1,766
415,Kevin Love,CLE,32,25,7,18,24.9,107.0,113.4,-6.5,15.3,1.66,16.9,2.6,27.2,14.7,10.2,52.2,55.6,21.1,100.57,12.3,"1,309"
416,Abdel Nader,PHX,27,24,16,8,14.8,106.7,101.7,5.0,7.8,1.00,11.2,2.0,15.1,8.8,11.2,56.9,60.5,18.3,102.96,9.2,757
417,Anthony Lamb,HOU,23,24,3,21,17.3,105.1,114.3,-9.2,8.0,1.21,13.5,5.5,10.9,7.9,11.2,48.7,52.3,14.4,103.93,5.0,896
418,Cassius Stanley,IND,21,24,10,14,3.9,97.5,88.1,9.4,1.7,1.00,2.0,6.7,11.0,8.7,2.0,33.7,38.3,19.8,103.13,2.7,200
419,Al-Farouq Aminu,CHI,30,23,5,18,18.9,102.8,109.0,-6.2,10.1,1.11,18.8,5.0,20.0,12.5,17.0,42.4,46.9,13.8,98.01,7.5,887
420,De'Andre Hunter,ATL,23,23,12,11,29.5,111.3,105.9,5.5,9.8,1.52,12.2,2.4,12.5,7.6,8.1,54.6,60.3,19.4,101.80,10.4,"1,440"
421,Dennis Smith Jr.,DET,23,23,7,16,18.3,105.8,108.1,-2.2,27.6,2.96,29.6,2.9,9.9,6.5,10.0,46.6,49.2,19.1,97.94,9.3,857
422,Ed Davis,MIN,31,23,5,18,13.0,101.4,109.0,-7.6,10.0,3.00,26.9,12.7,23.5,17.6,9.0,43.2,48.7,7.8,101.24,7.9,631
423,Glenn Robinson III,SAC,27,23,9,14,16.1,105.2,122.5,-17.3,7.5,1.82,14.2,2.8,9.4,6.0,7.8,50.5,55.4,13.5,102.74,5.7,793
424,Quinn Cook,CLE,28,23,13,10,6.8,100.3,104.2,-3.9,18.4,2.57,18.8,1.2,8.4,4.9,7.3,50.7,53.1,20.4,102.49,9.8,338
425,Trey Lyles,SAS,25,23,10,13,15.6,98.4,112.9,-14.5,6.0,2.33,11.6,2.2,21.3,11.1,5.0,55.6,57.4,12.8,99.67,9.8,743
426,Cassius Winston,WAS,23,22,10,12,4.5,92.8,114.2,-21.4,22.2,2.40,22.6,0.0,8.7,4.4,9.4,54.5,57.5,18.2,102.65,7.9,208
427,Chris Chiozza,BKN,25,22,12,10,10.6,105.9,102.9,3.0,38.2,4.06,36.7,1.2,8.8,4.9,9.0,42.6,46.1,20.0,101.44,9.3,493
428,Josh Hall,OKC,20,21,2,19,16.0,100.7,113.9,-13.2,11.8,1.12,16.3,1.6,15.1,8.1,14.5,32.3,36.3,17.4,104.93,1.5,733
429,Nate Hinton,DAL,21,21,11,10,4.4,87.3,115.4,-28.2,15.1,1.60,13.6,0.9,9.1,4.4,8.5,40.5,44.2,21.7,104.12,6.6,204
430,Oshae Brissett,IND,22,21,10,11,24.7,117.0,111.0,6.0,4.2,1.80,8.7,5.4,14.9,10.3,4.8,59.3,63.8,14.9,107.12,9.6,"1,154"
431,Rodions Kurucs,MIL,23,21,10,11,5.9,102.5,102.8,-0.3,11.5,0.77,17.5,3.7,13.4,8.6,22.8,43.8,45.9,14.5,109.08,4.4,282
432,Sindarius Thornwell,ORL,26,21,7,14,10.3,102.6,104.6,-2.0,13.5,3.00,26.9,1.3,6.7,3.9,9.0,40.2,41.4,11.0,100.39,4.3,454
433,Wenyen Gabriel,NOP,24,21,9,12,11.5,106.4,105.6,0.8,6.3,0.73,11.7,6.9,13.5,10.0,16.0,50.8,53.3,13.5,102.44,5.5,513
434,Armoni Brooks,HOU,22,20,3,17,26.0,103.9,115.6,-11.7,9.0,1.36,12.0,1.7,11.2,6.1,8.8,56.3,56.5,17.5,102.94,6.8,"1,114"
435,Deividas Sirvydis,DET,20,20,8,12,6.7,97.2,106.9,-9.7,6.2,1.00,9.6,0.0,22.5,10.7,9.6,47.5,48.1,15.0,100.61,7.0,281
436,Devontae Cacok,LAL,24,20,8,12,4.9,116.7,98.6,18.1,1.3,0.20,2.5,11.7,18.3,15.1,12.5,58.6,57.6,15.4,105.46,11.4,216
437,Freddie Gillespie,TOR,23,20,7,13,19.6,101.3,110.9,-9.6,3.4,0.75,7.4,10.0,14.2,12.0,9.9,52.4,56.3,12.0,100.86,7.5,824
438,Quinndary Weatherspoon,SAS,24,20,8,12,6.1,94.3,116.9,-22.6,10.7,0.80,13.3,2.4,7.0,4.6,16.7,47.1,54.7,18.0,103.46,4.6,261
439,Jaylen Hoard,OKC,22,19,1,18,16.8,99.9,108.9,-9.1,11.0,1.41,16.2,6.1,12.8,9.5,11.5,50.0,54.7,15.6,104.60,9.3,697
440,Tacko Fall,BOS,25,19,13,6,7.1,113.9,107.6,6.3,2.8,0.50,6.7,12.3,23.7,18.4,13.3,72.4,66.0,12.7,103.23,10.2,295
441,Vernon Carey Jr.,CHA,20,19,9,10,6.0,105.0,108.3,-3.2,2.8,0.40,4.2,5.4,17.4,11.6,10.4,51.4,56.3,17.8,100.44,7.9,238
442,Alize Johnson,BKN,25,18,10,8,10.5,107.5,112.1,-4.5,11.0,1.56,14.4,12.7,32.0,22.0,9.3,59.6,63.8,17.5,101.24,17.4,398
443,Cristiano Felicio,CHI,28,18,6,12,4.6,96.7,89.7,7.1,15.5,2.25,26.5,11.2,20.5,15.6,11.8,53.8,57.4,11.7,102.84,11.2,184
444,Darius Miller,OKC,31,18,5,13,10.9,105.3,98.1,7.2,15.1,2.63,25.9,1.1,10.3,6.0,9.9,63.5,68.5,12.7,104.88,11.5,433
445,Elijah Hughes,UTA,23,18,14,4,3.5,91.5,120.3,-28.8,15.8,1.00,13.6,1.4,11.9,6.6,13.6,46.7,48.8,24.2,105.09,7.1,141
446,Killian Tillie,MEM,23,18,11,7,10.1,107.2,97.7,9.6,6.3,4.00,11.1,3.1,8.2,5.9,2.8,42.1,46.1,14.8,102.06,4.7,388
447,Nick Richards,CHA,23,18,9,9,3.5,93.3,103.8,-10.5,5.4,0.67,10.5,5.6,9.6,7.6,15.8,44.4,54.2,11.1,101.95,3.3,134
448,Romeo Langford,BOS,21,18,9,9,15.7,98.1,108.2,-10.1,6.9,1.30,14.9,4.0,7.7,5.9,11.5,39.8,43.6,11.1,100.75,3.0,590
449,Sean McDermott,MEM,24,18,10,8,8.8,89.1,106.8,-17.7,4.3,1.00,8.9,3.1,8.7,5.5,8.9,47.0,53.4,10.1,103.34,5.2,341
450,Tyler Bey,DAL,23,18,11,7,3.9,85.8,112.8,-27.0,6.3,1.00,10.0,9.0,17.7,12.6,10.0,34.1,37.2,14.3,107.57,3.8,162
451,Ersan Ilyasova,UTA,34,17,14,3,8.7,109.7,103.0,6.7,4.0,0.50,5.9,4.7,14.3,9.5,11.8,55.6,57.8,19.0,98.42,6.2,300
452,Jerome Robinson,WAS,24,17,5,12,17.9,100.0,113.1,-13.1,11.4,1.32,17.1,1.1,10.5,5.6,13.0,35.3,40.0,16.1,104.83,3.1,660
453,Keljin Blevins,POR,25,17,11,6,4.4,85.2,107.5,-22.2,8.3,0.80,13.8,3.1,7.1,5.2,17.2,30.0,30.0,12.6,112.13,-0.5,176
454,Theo Pinson,NYK,25,17,9,8,2.0,85.2,101.2,-16.0,6.3,1.00,9.1,0.0,11.4,6.3,9.1,11.1,11.1,11.8,116.28,-4.0,81
455,Dewayne Dedmon,MIA,31,16,11,5,13.2,121.3,104.2,17.1,8.3,0.92,11.9,13.7,28.2,21.0,12.9,71.5,73.5,18.3,98.18,14.9,428
456,Rodney McGruder,DET,29,16,3,13,12.1,111.7,115.8,-4.0,12.8,2.29,16.7,4.2,7.8,6.0,7.3,60.7,61.9,17.9,97.28,9.7,392
457,Alen Smailagic,GSW,20,15,10,5,5.6,95.2,112.8,-17.6,7.8,0.80,10.3,6.5,11.1,8.7,12.8,48.1,47.2,16.5,107.33,4.3,188
458,Chris Silva,SAC,24,15,8,7,6.2,100.0,100.5,-0.5,10.2,0.60,15.4,8.2,21.7,15.3,25.6,65.6,70.8,15.1,104.72,6.4,201
459,Kostas Antetokounmpo,LAL,23,15,6,9,3.7,105.4,83.3,22.1,2.3,0.09,3.6,5.9,21.1,13.7,39.3,30.0,38.2,17.2,112.65,0.5,130
460,Ty-Shon Alexander,PHX,22,15,11,4,3.2,101.0,107.0,-6.0,20.0,2.00,27.3,3.8,15.7,9.7,13.6,33.3,34.9,14.3,100.07,5.2,98
461,Udoka Azubuike,UTA,21,15,13,2,3.8,69.8,124.4,-54.5,0.0,0.00,0.0,6.3,15.0,10.5,17.6,44.4,59.7,11.9,104.48,5.4,126
462,Adam Mokoka,CHI,22,14,3,11,4.0,83.2,90.3,-7.1,17.9,1.00,17.2,1.7,7.7,4.5,17.2,39.5,38.6,17.1,106.38,2.5,125
463,Jordan Bone,ORL,23,14,2,12,14.0,98.3,112.6,-14.3,14.3,6.00,24.0,1.8,10.2,5.7,4.0,51.9,51.9,12.1,101.46,6.7,414
464,Mamadi Diakite,MIL,24,14,7,7,10.1,103.2,99.4,3.8,7.9,2.67,13.8,5.2,16.0,10.7,5.2,41.3,47.7,14.2,107.54,8.1,314
465,Rayjon Tucker,PHI,23,14,8,6,4.9,96.1,101.3,-5.2,15.4,1.50,16.2,1.2,16.4,7.5,10.8,55.6,64.5,17.6,109.17,11.9,153
466,Donta Hall,ORL,23,13,3,10,13.8,97.9,104.5,-6.5,10.2,1.38,15.9,12.6,19.3,16.0,11.6,71.4,73.1,13.5,103.10,14.5,388
467,Ignas Brazdeikis,ORL,22,13,3,10,19.1,110.3,114.6,-4.3,10.0,1.42,14.3,4.1,12.9,8.5,10.1,48.8,51.0,17.1,101.47,6.3,524
468,Jabari Parker,BOS,26,13,4,9,12.7,100.6,106.1,-5.5,10.5,1.10,13.4,5.6,18.0,11.7,12.2,56.4,59.3,17.5,100.23,11.7,348
469,Jahmi'us Ramsey,SAC,19,13,5,8,7.3,106.7,104.2,2.4,8.8,2.00,12.2,1.9,8.0,4.8,6.1,46.1,49.8,18.3,107.46,6.3,210
470,Jalen Harris,TOR,22,13,3,10,13.2,108.2,107.8,0.3,15.3,1.21,15.9,1.7,9.1,5.2,13.1,61.8,63.2,21.9,102.91,9.7,368
471,Justin Patton,HOU,23,13,1,12,19.0,100.8,114.9,-14.1,8.4,3.50,15.6,4.7,14.2,9.0,4.4,47.9,48.8,12.8,102.51,6.5,524
472,Matthew Dellavedova,CLE,30,13,4,9,17.2,108.8,111.9,-3.1,33.7,9.67,47.5,2.9,8.5,5.7,4.9,28.6,31.2,12.5,100.13,5.2,466
473,Mike James,BKN,30,13,9,4,18.2,115.6,111.6,4.1,30.3,2.70,30.2,1.3,11.2,6.6,11.2,42.9,48.1,23.1,100.28,9.2,493
474,Norvel Pelle,NYK,28,13,8,5,6.4,113.3,101.1,12.2,3.2,0.67,8.7,7.7,15.3,11.7,13.0,53.3,56.7,10.6,103.44,5.3,180
475,Robert Woodard II,SAC,21,13,3,10,3.5,107.5,101.0,6.6,5.6,2.00,7.4,8.0,23.5,15.8,3.7,42.5,42.5,21.0,110.00,7.9,106
476,Terrance Ferguson,PHI,23,13,10,3,3.8,88.8,106.5,-17.8,5.7,0.50,15.4,0.0,2.4,1.1,30.8,14.3,14.3,9.4,104.14,-6.5,107
477,Jared Dudley,LAL,35,12,7,5,6.7,97.7,99.4,-1.7,8.1,2.50,31.3,4.7,21.3,12.7,12.5,33.3,33.3,5.6,100.29,5.5,171
478,Anthony Tolliver,PHI,35,11,7,4,9.0,109.8,93.2,16.6,2.5,0.67,8.3,2.8,7.1,4.8,12.5,35.3,43.3,9.0,105.24,2.2,214
479,Devon Dotson,CHI,21,11,4,7,4.6,105.3,83.7,21.7,20.0,0.00,25.0,3.9,6.1,5.0,0.0,54.8,54.8,16.0,103.72,16.6,113
480,Jaren Jackson Jr.,MEM,21,11,4,7,23.5,107.6,118.0,-10.5,7.4,0.80,7.1,6.0,16.4,11.2,8.8,49.2,55.1,25.2,101.41,9.7,543
481,Jontay Porter,MEM,21,11,7,4,4.9,93.0,92.2,0.9,3.3,0.14,4.0,6.5,14.9,10.9,28.0,63.3,64.0,18.2,102.24,6.7,115
482,Rondae Hollis-Jefferson,POR,26,11,6,5,9.8,111.7,112.8,-1.1,16.9,6.50,31.7,8.0,14.0,10.7,4.9,50.0,53.9,10.5,100.65,7.4,223
483,Tyrell Terry,DAL,20,11,2,9,5.1,88.4,88.4,0.0,15.8,3.00,24.0,0.0,11.8,5.0,8.0,31.3,31.8,13.5,103.15,6.7,121
484,Gabriel Deck,OKC,26,10,1,9,21.2,104.1,116.8,-12.7,16.0,4.00,22.4,6.7,11.8,9.0,5.6,49.3,54.8,15.9,103.21,10.0,458
485,Gary Payton II,GSW,28,10,7,3,4.0,103.3,101.1,2.2,3.7,1.00,6.3,5.1,17.6,12.2,6.3,84.6,84.7,15.3,109.87,16.4,92
486,Karim Mane,ORL,21,10,2,8,8.8,99.5,111.5,-12.0,6.1,1.33,18.2,1.0,15.1,7.3,13.6,26.9,36.2,8.5,99.46,1.7,183
487,Thomas Bryant,WAS,23,10,2,8,27.1,113.6,115.7,-2.1,7.9,1.36,12.1,6.3,16.3,11.1,8.9,69.8,70.4,16.3,107.31,11.1,605
488,Vincent Poirier,PHI,27,10,8,2,3.9,85.2,104.6,-19.4,8.0,0.50,9.5,13.0,22.2,17.1,19.0,25.0,27.3,19.4,107.33,-2.0,88
489,Yogi Ferrell,LAC,28,10,4,6,13.7,106.7,107.1,-0.4,22.9,7.33,25.9,3.4,9.5,6.5,3.5,43.0,45.9,19.3,99.17,9.4,283
490,Charlie Brown Jr.,OKC,24,9,1,8,16.9,100.3,113.0,-12.7,8.0,1.50,14.5,1.7,9.1,5.1,9.7,36.0,42.2,14.0,104.49,2.1,330
491,James Nunnally,NOP,30,9,3,6,5.3,99.0,103.9,-4.8,9.4,1.50,15.8,3.3,14.9,8.4,10.5,53.8,54.0,12.9,103.97,7.5,104
492,Jeremiah Martin,CLE,24,9,0,9,8.4,100.6,117.3,-16.7,9.1,0.67,8.9,2.1,6.5,4.0,13.3,31.8,31.3,22.0,99.64,1.0,156
493,Justin Robinson,OKC,23,9,0,9,9.7,97.9,119.9,-22.0,15.0,4.50,27.3,1.1,6.7,3.8,6.1,42.9,45.3,11.1,103.67,3.3,188
494,Axel Toupane,MIL,28,8,2,6,7.7,94.0,96.3,-2.2,9.8,0.00,22.2,0.0,8.2,4.2,0.0,40.9,49.7,9.2,105.07,6.0,134
495,Dakota Mathias,PHI,25,8,4,4,15.4,97.3,107.9,-10.6,15.7,13.00,20.3,0.7,4.1,2.3,1.6,47.9,47.4,16.6,102.83,6.2,263
496,Devin Cannady,ORL,25,8,0,8,9.3,100.6,114.4,-13.7,2.3,0.50,2.9,0.0,6.5,3.0,5.9,50.0,54.7,18.1,102.97,6.1,159
497,Jared Harper,NYK,23,8,5,3,2.0,78.6,95.0,-16.4,12.5,0.33,10.0,0.0,9.1,4.5,30.0,0.0,26.0,20.0,121.11,-5.2,42
498,Markelle Fultz,ORL,22,8,6,2,26.9,107.1,113.6,-6.5,29.3,2.39,25.0,2.1,9.5,5.6,10.5,41.3,45.8,25.0,103.16,8.1,463
499,Thon Maker,CLE,24,8,3,5,9.6,92.3,103.2,-10.9,10.0,1.33,13.3,9.3,11.8,10.5,10.0,55.6,65.7,14.5,97.61,13.4,155
500,Grant Riller,CHA,24,7,2,5,3.9,96.4,101.8,-5.4,30.0,3.00,18.8,0.0,4.0,2.0,6.3,75.0,75.0,22.0,97.82,21.1,55
501,Jaylen Adams,MIL,25,7,5,2,2.6,69.0,100.0,-31.0,20.0,0.00,20.0,0.0,14.3,6.7,0.0,12.5,12.5,17.8,109.93,-1.7,42
502,Nate Darling,CHA,22,7,3,4,3.7,67.9,122.2,-54.3,11.1,1.00,11.1,3.2,0.0,1.8,11.1,42.9,54.1,13.3,98.33,4.8,53
503,Robert Franks,ORL,24,7,0,7,14.4,106.0,120.5,-14.4,7.0,2.50,12.2,5.3,8.2,6.6,4.9,55.4,63.8,14.8,101.27,9.1,215
504,T.J. Leaf,POR,24,7,6,1,5.1,85.9,110.7,-24.8,3.8,0.50,7.1,0.0,10.6,5.5,14.3,50.0,55.1,13.8,114.52,8.4,85
505,Brian Bowen II,IND,22,6,1,5,2.5,93.8,84.4,9.4,0.0,0.00,0.0,0.0,15.8,7.1,0.0,25.0,33.8,9.8,103.33,4.5,32
506,Bruno Caboclo,HOU,25,6,1,5,6.1,96.3,94.0,2.3,4.8,0.25,4.3,6.4,26.8,15.9,17.4,47.1,47.5,23.2,108.03,11.3,81
507,Dante Exum,HOU,25,6,3,3,19.4,99.6,96.0,3.6,15.5,1.86,27.7,1.5,12.9,6.9,14.9,42.3,42.8,11.9,102.70,5.8,247
508,Jordan Bell,GSW,26,6,3,3,13.6,95.2,112.3,-17.0,13.0,1.75,20.6,6.9,18.9,12.6,11.8,31.8,32.8,14.0,99.36,6.8,168
509,Louis King,SAC,22,6,3,3,14.2,97.3,100.5,-3.3,18.0,2.25,18.4,5.1,13.5,9.3,8.2,55.9,60.0,19.1,103.26,14.8,185
510,Marques Bolden,CLE,23,6,2,4,4.8,82.8,70.5,12.3,0.0,0.00,0.0,8.3,8.8,8.6,22.2,33.3,53.7,13.6,99.74,11.5,58
511,Amida Brimah,IND,27,5,2,3,5.9,114.9,82.1,32.8,4.2,0.25,7.1,7.7,15.0,12.1,28.6,62.5,69.7,17.6,109.84,11.1,67
512,Anderson Varejao,CLE,38,5,1,4,7.2,85.9,123.5,-37.6,15.0,3.00,12.5,14.6,34.2,23.3,4.2,25.0,32.6,22.8,106.20,9.0,78
513,Andre Roberson,BKN,29,5,4,1,12.6,100.0,118.4,-18.4,9.8,2.00,19.0,10.3,13.6,11.8,9.5,17.9,20.2,11.7,96.87,2.3,129
514,Cameron Reynolds,HOU,26,5,3,2,8.1,81.8,110.1,-28.3,9.5,0.00,10.0,3.7,7.9,5.4,0.0,41.7,41.7,18.2,104.93,4.2,88
515,Khyri Thomas,HOU,25,5,1,4,30.6,124.3,116.9,7.3,21.0,4.17,24.8,4.7,7.2,6.0,5.9,55.3,58.6,20.8,106.24,10.7,334
516,Patrick McCaw,TOR,25,5,2,3,6.7,104.5,137.5,-33.0,19.0,0.00,66.7,2.7,7.1,4.6,0.0,100.0,107.8,2.6,94.21,5.7,67
517,Tim Frazier,MEM,30,5,5,0,12.4,98.5,90.6,7.8,33.3,4.00,37.2,0.0,10.7,5.4,9.3,15.0,17.7,17.8,105.35,1.2,133
518,Cameron Oliver,HOU,24,4,1,3,21.8,111.2,116.4,-5.2,8.6,1.67,11.9,5.0,18.8,11.4,7.1,63.6,61.9,17.4,103.54,9.5,188
519,Frank Mason,ORL,27,4,1,3,19.8,96.9,108.0,-11.1,21.8,2.40,27.3,3.3,10.3,6.8,11.4,41.7,46.2,17.0,97.78,5.9,161
520,Greg Whittington,DEN,28,4,3,1,3.0,103.7,70.4,33.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,107.85,-7.1,27
521,Jalen Lecque,IND,20,4,2,2,3.0,77.8,92.6,-14.8,33.3,0.00,16.7,8.3,20.0,12.8,0.0,11.1,24.2,26.3,106.81,12.0,27
522,Jay Scrubb,LAC,20,4,2,2,21.0,112.8,115.6,-2.8,1.5,0.14,2.2,2.2,14.0,7.9,15.2,41.7,45.8,21.7,100.35,5.1,179
523,Kris Dunn,ATL,27,4,1,3,11.4,86.3,117.7,-31.4,8.0,0.67,10.5,0.0,12.5,6.4,15.8,8.3,18.2,15.7,100.95,-6.0,95
524,Noah Vonleh,BKN,25,4,3,1,2.7,82.6,145.8,-63.2,14.3,0.50,16.7,0.0,14.3,6.7,33.3,0.0,0.0,21.7,104.77,-9.4,23
525,T.J. Warren,IND,27,4,3,1,29.3,111.3,108.7,2.6,6.0,1.25,7.9,1.7,10.6,6.0,6.3,52.9,56.0,21.3,102.44,7.2,248
526,Didi Louzada,NOP,21,3,0,3,18.8,102.5,109.8,-7.3,7.3,1.00,15.8,1.5,3.2,2.3,15.8,30.8,30.8,11.4,103.09,-1.2,120
527,Isaiah Thomas,NOP,32,3,1,2,16.1,106.7,100.0,6.7,16.7,0.83,12.8,1.9,5.2,3.6,15.4,38.9,41.2,27.4,103.92,3.3,105
528,Malik Fitts,LAC,23,3,3,0,3.6,86.4,113.6,-27.3,0.0,0.00,0.0,0.0,30.0,15.0,0.0,50.0,50.0,12.0,97.63,2.9,22
529,Meyers Leonard,MIA,29,3,2,1,9.8,103.3,104.8,-1.4,10.5,1.00,16.7,0.0,24.1,11.9,16.7,64.3,63.5,15.2,100.45,6.7,60
530,Spencer Dinwiddie,BKN,28,3,2,1,21.4,118.4,88.7,29.8,17.3,1.80,27.3,0.0,15.1,8.8,15.2,43.8,53.6,15.4,105.20,10.2,141
531,Ashton Hagans,MIN,21,2,0,2,2.0,60.0,81.8,-21.8,0.0,0.00,0.0,0.0,0.0,0.0,100.0,0.0,0.0,8.3,123.93,-25.0,10
532,Henry Ellenson,TOR,24,2,0,2,19.2,98.8,88.2,10.6,20.8,0.00,23.8,6.1,20.5,12.9,0.0,42.9,47.6,16.7,105.09,10.6,83
533,Iman Shumpert,BKN,30,2,1,1,5.5,91.3,95.7,-4.3,0.0,0.00,0.0,7.7,0.0,4.5,20.0,25.0,25.0,18.5,100.52,-1.1,23
534,Marquese Chriss,GSW,23,2,0,2,13.4,79.0,119.4,-40.3,20.0,1.00,10.0,7.5,38.5,19.7,10.0,39.3,41.2,25.0,111.39,11.0,62
535,Ray Spalding,HOU,24,2,0,2,9.4,90.9,106.8,-15.9,0.0,0.00,0.0,8.3,8.3,8.3,37.5,50.0,41.0,15.7,112.74,-2.6,44
536,Anzejs Pasecniks,WAS,25,1,1,0,6.3,57.1,161.5,-104.4,33.3,0.20,14.3,14.3,0.0,8.3,71.4,0.0,0.0,37.5,102.59,-26.0,14
537,Elijah Bryant,MIL,26,1,0,1,31.6,119.7,105.7,14.0,13.0,0.75,14.3,6.5,13.3,9.8,19.0,50.0,55.9,23.1,107.19,7.2,71
538,Udonis Haslem,MIA,40,1,1,0,2.7,166.7,100.0,66.7,0.0,0.00,0.0,0.0,25.0,20.0,0.0,100.0,100.0,28.6,116.78,45.5,6
539,Will Magnay,NOP,22,1,1,0,3.3,37.5,185.7,-148.2,0.0,0.00,0.0,0.0,0.0,0.0,50.0,0.0,0.0,20.0,110.20,-17.1,8
